Name,Description
Vitruvian Partners,"Vitruvian Partners is a global private equity firm, focusing on growth buyout and growth capital investments in middle-market companies.
Vitruvian invests throughout Europe, the U.S. and Asia. The firm has offices in London, Munich, Madrid, Miami, Mumbai, Stockholm, Shanghai, Singapore, San Francisco and Luxembourg.
The firm was founded in 2006 by former partners of Apax Partners, BC Partners and Bridgepoint Capital. In 2008, Vitruvian completed the fundraising for its inaugural €925 million fund, the Vitruvian Investment Partnership I (""VIP I""). In December 2013, Vitruvian announced that it had closed the fundraising of its second fund, Vitruvian Investment Partnership II (“VIP II”), at its self-imposed cap of £1 billion ($1.6 billion; €1.2billion). In June 2017, Vitruvian announced that it had closed the fundraising of its third fund, Vitruvian Investment Partnership III (“VIP III”), at the hard cap of €2.4 billion. In July 2020 Vitruvian announced the closing of Vitruvian Investment Partnership IV (“VIP IV”) at the hard cap of €4.0 billion. In September 2024 Vitruvian announced the closing of Vitruvian Investment Partnership V (""VIP V"") at the hard cap of €7.3 billion.
In an annual study of the long-term performance conducted by Dow Jones/HEC  Vitruvian was ranked in the Top 1% of GPs (General Partners) globally for the third year running.[1]"
Vivo Capital,"Vivo Capital (""Vivo"") is an American investment firm headquartered in Palo Alto, California. It is focused on making public and private investments in the healthcare and biotechnology industries."
Vulcan Capital Management,"Vulcan Capital Management, Inc was founded in May 1997 by Ford Graham and Kevin Davis (and is a different and unrelated entity to Vulcan Capital or Vulcan Inc., two companies founded by Paul Allen.). It is a private equity firm focusing on investments in distressed restructurings, acquisitions, growth capital, mezzanine capital, leveraged buyouts, recapitalizations and structured equity in the energy, natural resources and green technology sectors in the United States, Canada, Nigeria, Bangladesh and Iraq. with typical investments being between $10 million and $300 million.
In 2005 one of Ford's companies, Vulcan Energy Solutions, signed a contract that soon went awry for $64 million with Iraq's minister for electricity, Aiham Alsammarae, to fix the Mulla Abdullah power plant in Kirkuk. An employee, J.C. Adams, was at the meeting and had worked on some of Vulcan's subcontracts in Iraq, and later testified that he was owed $150,000 in unpaid salary. Adams testified that he had been told he would finally be paid his salary if Vulcan won the Mulla Abdullah contract and that Ford Graham told a group of employees that he had agreed to include a $3 million “engineering fee” in the final contract as a bribe to get the contract.

"
Värde Partners,"Värde Partners (Värde) is an American alternative investment management firm headquartered in Minneapolis, Minnesota. The firm focuses on investments in credit-related assets and distressed securities although it has also expanded into other areas of alternative investments including real estate.
Outside the United States, the firm has offices in Luxembourg, London, Mumbai and Singapore."
Warburg Pincus,"Warburg Pincus LLC is a global private equity firm, headquartered in New York City, with offices in the United States, Europe, Brazil, China, Southeast Asia and India. Warburg has been a private equity investor since 1966. As of April 2024 the firm had over $90 billion in assets under management and invests in a range of sectors including retail, industrial manufacturing, energy, financial services, health care, technology, media, and real estate. Warburg Pincus is a growth investor. Warburg Pincus has raised 21 private equity funds which have invested over $100 billion in over 1,000 companies in 40 countries. 
In June 2024, Warburg Pincus was ranked ninth in Private Equity International's PEI 300 ranking of the largest private equity firms in the world."
Warwick Investment Group,"Warwick Investment Group is a SEC-registered investment advisor, managing funds that invest globally in natural resources and real estate. The firm has ~130 team members and advisors across offices in Oklahoma City, Dallas, New York and London, investing across private equity funds, special purpose vehicles and open-ended structures. The firm also manages capital for pension funds in 8 of the 50 states."
"Welsh, Carson, Anderson & Stowe","Welsh, Carson, Anderson & Stowe (WCAS), also referred to as Welsh Carson, is a private equity firm. WCAS was formed in 1979 and focuses on investing the industries of technology and healthcare, primarily in the United States. WCAS has a current portfolio of approximately 30 companies and has organized 17 limited partnerships with total capital of over $27 billion, consisting of 13 equity partnerships and four subordinated debt partnerships. WCAS is currently investing equity funds, including WCAS XII, L.P. and WCAS XIII, L.P.
WCAS has approximately 90 employees, including 15 general partners. The firm also has a Resources Group, which is composed of approximately 20 operating partners. The Resources Group assists the firm's portfolio companies by identifying and implementing initiatives focused on growth and operational improvement. The Resources Group works with the firm's investment professionals and portfolio company management teams to develop value maximization plans (""VMPs"") for each new investment. These VMPs are unique for each portfolio company and encompass a wide range of strategic initiatives, including revenue enhancement and cost management strategies, corporate governance, motivation of key management team members, financial reporting dashboards, as well as potential acquisitions and integration timelines."
Wesray Capital Corporation,"Wesray Capital Corporation is a private equity firm focusing on leveraged buyout investments.  The firm was founded by former US Secretary of the Treasury William E. Simon and former New Jersey Nets owner Ray Chambers.
The firm is known for its 1982 investment in Gibson Greetings as well as for its involvement in seeding other notable private equity firms in the 1990s including Vestar Capital Partners and Catterton Partners.
The firm is based in New York City."
Weston Presidio,"Weston Presidio is an American private equity firm focused on growth capital investments in late-stage companies across a range of industries with a specific focus on the consumer products, business services, industrial, media, publishing, healthcare and technology sectors.
The firm, which is based in Boston, Massachusetts, has offices in San Francisco and Menlo Park, California.
Weston Presidio was founded in 1991 by Michael Cronin, who had previously run the Boston office of Security Pacific Venture Capital Group, and Michael Lazarus who had previously been managing director of the Private Placement Department of Montgomery Securities.  The firm has raised approximately $3.21 billion since inception across five funds.  Weston Presidio's fifth fund was raised in 2005 with approximately $1 billion of investor commitments and has been focused primarily on investments in more mature companies.

Through the years, Weston Presidio has shifted its focus from earlier stage venture capital to investments in more mature companies and occasionally through leveraged recapitalizations and leveraged buyouts.
Among Weston Presidio's most notable investments are: Associated Materials, Azul Brazilian Airlines, BlueArc, Boston Herald, Casella Waste Systems, Cybertrust, DTS Digital Theater Systems, Evenflo, Fender Musical Instruments Corporation, Learning Curve Brands, JetBlue Airways, Jimmy John's, Lion Brewery, Inc., MacDermid, MapQuest, Morris Air, Nebraska Book Company, NextMedia Group, Papyrus, Party City (aka Amscan), Restoration Hardware, Robb Report, Scene7, Thomas Weisel Partners, Tweeter Home Entertainment and Wild Oats Markets."
Willis Stein & Partners,"Willis Stein & Partners was a private equity firm focused on leveraged buyout transactions for middle-market companies. The firm was wound down in 2012.
The firm's most notable investments included Ziff Davis, Roundy's, Jays Foods, Lincoln Snacks Company and Petersen Publishing Company (publisher of Motor Trend).
The firm was headquartered in Chicago and was founded in 1995."
Wilshire Associates,"Wilshire Associates, Inc. is an American independent investment management firm that offers consulting services and analytical products and manages fund of funds investment vehicles for a global client base. Wilshire manages capital for more than 600 institutional investors globally representing more than $8 trillion of capital. Wilshire is also known for the creation of the Wilshire 5000 stock index in 1974 and more recently the Wilshire 4500 stock index.
Wilshire operates from four business units:

Wilshire Analytics
Wilshire Consulting
Wilshire Funds Management
Wilshire Private Markets
Wilshire is headquartered in Santa Monica, California, with offices in the U.S. in New York, New Jersey, Pittsburgh, Chicago and Denver as well as internationally in London, Singapore, Amsterdam, Melbourne, Suzhou and Hong Kong."
Wind Point Partners,"Wind Point Partners is an American private equity firm focused on growth capital investments and leveraged buyouts in middle-market companies. The firm focuses on the following industry sectors: Consumer Products, Industrial Products, and Business Services. Wind Point's strategy involves partnering with executives who typically have run a P&L of $1 billion or greater to acquire businesses with enterprise values between $100 million and $500 million.
The firm, which is based in Chicago, Illinois, was founded in 1984.  It was founded and funded by S. Curtis Johnson of Racine Wisconsin, heir to the SC Johnson fortune."
Yucaipa Companies,"The Yucaipa Companies, LLC is an American private equity firm founded in 1986 by Ronald Burkle. It specializes in a private equity and venture capital, with a focus on middle-market companies, growth capital, industry consolidation, leveraged buyouts and turnaround investments. It generally invests $25–$300 million in companies with $300–$500 million in revenues.
Yucaipa has a history of leveraged buyouts in supermarket and grocery chains, beginning with Jurgensen's Markets in 1986. After several standalone investments in the late 1980s, it went on to lead the consolidation of West Coast retail that occurred during the 1990s due in part to the rise of discount centers like Wal-Mart. In November 2013.
The Yucaipa Companies acquired British retailer Tesco's Fresh & Easy chain five years after it had entered the U.S. market.

"
